TITLE,Genre,Released,Style,The First line,생성일
THE FIFTH WAVE,"Action, Adventure, Fantasy, Post Apocalypse, War",2016,일상대화형,"Help, please…",2023년 9월 8일 오후 9:30
BABYLON,"Dramas, History",2023,일상대화형,Okay. Manuel right?,2023년 10월 5일 오후 8:12
JAG ÄR INGRID,"Based on real life, Documentary",2015,독백형,"April 1928. Gud, min Gud, hjälp pappa.",2023년 10월 7일 오후 2:54
CREATION,"Based on real life, History",2009,일상대화형,Papa? Um? Tell me a story.,2023년 10월 7일 오후 5:05
천군,"Fantasy, History",2005,회의형,"Shit! … 비격진천뢰의  인계작업은, 익일 13시로 결정됐소. ",2023년 11월 12일 오후 1:44
82년생 김지영,"Based on books, Dramas, Feminism",2019,방송자료형,서쪽으로부터 비구름이  들어와 주로 중부지역에  진눈깨비를 동반한 비가 내렸습니다. 그러나 아침부터는 남서쪽 … 문제 해결? Solve the problem 아니예요? 하시는 분들 계실 거예요.,2023년 11월 12일 오후 4:04
TRUMBO,"Based on real life, Dramas, History",2016,일상대화형,"What do you want, Raco? ",2023년 11월 12일 오후 7:59
A POSTCARD FROM PYONGYANG,Documentary,2019,일상대화형,12 Kilometer mehr.,2023년 11월 12일 오후 9:35
CATCH ME IF YOU CAN,"Based on books, Based on real life",2002,방송자료형,"Thank you very much well come to tell the truth. ",2024년 8월 3일 오후 10:18
MOONFALL,"Disaster, Sci-Fi",2022,방송자료형,20 seconds and counting.,2024년 8월 7일 오후 12:06
WORLD WAR Z,"Apocalypse, Disaster, Horror, Sci-Fi, UNDEAD",2013,방송자료형,"This is J.L.T. Morning News. ",2024년 8월 7일 오후 2:12
GOOD WILL HUNTING,Dramas,1998,프레젠테이션/강의형,"Mod f x, square d x.",2024년 8월 25일 오후 2:58
LIFE OF PI,"Dramas, Fantasy",2012,인터뷰형,So you were raised in a zoo?,2024년 8월 25일 오후 6:20
Principal,깊이없는 영화광,2025,,,2025년 5월 17일 오후 9:33
지구를 지켜라!,"Black Comedy, Fantasy, Thriller",2003,독백형,"넌, 내가 미쳤다고 생각할지도 몰라.",2025년 6월 8일 오후 4:10
VENOM: THE LAST DANCE,"Action, Marvel, Sci-Fi",2024,독백형,"I am Knull, God of the void, slicer of worlds.",2025년 9월 25일 오후 1:35
곤지암,Horror,2018,관련자료형,"야, 4층 왔다, 4층.",2025년 9월 25일 오후 3:30
寄生獣 Part 1.,"Horror, Sci-Fi",2014,독백형,人間の数が半分になったら、燃やされる森の数も半分で済むのだろうか。,2025년 9월 25일 오후 3:47
寄生獣 Part 2.,"Action, Fantasy, Horror",2015,독백형,私たちが一体何のためにこの世界に生まれてきたのかしら。,2025년 9월 25일 오후 7:28
CTRL,"Mystery, Sci-Fi, Thriller",2024,일상대화형,"Oh my God, shoot the picture!",2026년 2월 20일 오후 4:10
